index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
45,0.39759,0.00869071,0.00993097,0.412837,0.0122663,0.257916,-0.0804806,-0.116014,-0.0261007,0.0820567,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,59.3179,51.034,242.997
46,0.406627,0.011556,0.0120735,0.411267,0.015746,0.243259,-0.074493,-0.0865295,-0.0110498,0.0697048,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,56.8909,46.8222,271.129
47,0.415663,0.0146536,0.0144071,0.410002,0.0192046,0.228002,-0.0680902,-0.0544618,0.00492921,0.0558758,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,54.4734,42.6327,299.166
48,0.424699,0.0179739,0.0169153,0.409155,0.0224789,0.213353,-0.0624738,-0.0225864,0.0205841,0.0418991,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,52.4777,39.1832,322.338
49,0.433735,0.021509,0.0195845,0.408817,0.0254713,0.200419,-0.0586867,0.00632112,0.0346628,0.0291041,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,51.3165,37.1916,335.876
50,0.442771,0.0252536,0.0224062,0.409036,0.0281469,0.190016,-0.0574407,0.0296096,0.0459705,0.0187614,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,50.1214,36.1917,331.092
51,0.451807,0.0291996,0.0253734,0.409783,0.0305155,0.182547,-0.0590127,0.0466251,0.0542316,0.0112038,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,44.3112,31.9874,293.247
52,0.460843,0.0333242,0.0284696,0.410911,0.0326061,0.178023,-0.063315,0.0583198,0.0599093,0.00600945,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,35.0407,25.2905,232.179
53,0.46988,0.0375908,0.0316682,0.412178,0.0344563,0.176112,-0.0699708,0.0656913,0.0634882,0.0027353,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,24.1592,17.4345,160.219
54,0.478916,0.0419561,0.0349381,0.413299,0.0361137,0.176211,-0.0783943,0.0697374,0.0654526,0.000938207,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,13.5163,9.75302,89.696
55,0.487952,0.0463781,0.0382489,0.413995,0.0376367,0.177567,-0.0879056,0.0714555,0.0662868,0.000175059,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,4.96149,3.57981,32.942
