index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
40,0.35241,-0.10476,0.0946719,0.400271,-0.0126194,0.210672,-0.199737,-0.100704,-0.137007,0.0721149,0,0,0,-0.194457,0.121754,-2.59789e-12,64.1082,4.197,317.798
41,0.361446,-0.107217,0.0974452,0.39803,-0.0128496,0.237206,-0.211133,-0.131851,-0.134282,0.0805039,0,0,0,-0.194457,0.121754,-2.59789e-12,71.0175,17.3642,309.301
42,0.370482,-0.109385,0.100286,0.396252,-0.0132548,0.263448,-0.218532,-0.157463,-0.125564,0.0852582,0,0,0,-0.194457,0.121754,-2.59789e-12,75.1511,25.2419,304.216
43,0.379518,-0.111248,0.103225,0.394919,-0.0135801,0.288692,-0.221276,-0.175288,-0.109499,0.0852582,0,0,0,-0.194457,0.121754,-2.59789e-12,75.9154,25.9541,303.829
44,0.388554,-0.112802,0.106267,0.394027,-0.0136038,0.312643,-0.219417,-0.184954,-0.0864228,0.0805039,0,0,0,-0.194457,0.121754,-2.59789e-12,77.2003,23.1264,306.177
45,0.39759,-0.11404,0.109403,0.393585,-0.0131589,0.33509,-0.213458,-0.187965,-0.058362,0.0721149,0,0,0,-0.194457,0.121754,-2.59789e-12,79.3478,18.4001,310.106
46,0.406627,-0.114953,0.112613,0.393608,-0.0121414,0.355792,-0.204143,-0.185907,-0.027417,0.0612595,0,0,0,-0.194457,0.121754,-2.59789e-12,81.9171,12.7446,314.808
47,0.415663,-0.115532,0.115875,0.394116,-0.010515,0.374486,-0.192347,-0.180368,0.00431194,0.049106,0,0,0,-0.194457,0.121754,-2.59789e-12,84.4676,7.12911,319.48
48,0.424699,-0.115766,0.119167,0.395126,-0.00830588,0.390927,-0.178975,-0.172932,0.0347244,0.0368227,0,0,0,-0.194457,0.121754,-2.59789e-12,86.5586,2.52308,323.316
49,0.433735,-0.115648,0.12247,0.396655,-0.00558585,0.404915,-0.164848,-0.165187,0.0617202,0.0255779,0,0,0,-0.194457,0.121754,-2.59789e-12,87.7495,-0.104159,325.511
50,0.442771,-0.115173,0.125775,0.398705,-0.00244795,0.416339,-0.150596,-0.158657,0.0832989,0.0164883,0,0,0,-0.194457,0.121754,-2.59789e-12,86.104,-0.377702,319.198
51,0.451807,-0.114353,0.129078,0.401237,0.00101062,0.425248,-0.136619,-0.153879,0.0990611,0.00984635,0,0,0,-0.194457,0.121754,-2.59789e-12,76.1659,-0.335236,282.371
52,0.460843,-0.113225,0.13238,0.404105,0.00468747,0.431928,-0.123181,-0.150595,0.109894,0.00528136,0,0,0,-0.194457,0.121754,-2.59789e-12,60.2537,-0.265797,223.387
53,0.46988,-0.111854,0.135681,0.407078,0.00849156,0.436854,-0.110398,-0.148525,0.116723,0.00240389,0,0,0,-0.194457,0.121754,-2.59789e-12,41.5539,-0.183601,154.063
54,0.478916,-0.110313,0.138981,0.409879,0.0123596,0.44058,-0.0982276,-0.147389,0.120471,0.000824536,0,0,0,-0.194457,0.121754,-2.59789e-12,23.2528,-0.102864,86.2122
55,0.487952,-0.108674,0.142281,0.412241,0.0162611,0.443633,-0.0864881,-0.146906,0.122063,0.000153849,0,0,0,-0.194457,0.121754,-2.59789e-12,8.53687,-0.0378001,31.6518
